Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2016-11-03 18:17:35,Running,6.77,1900-01-01 00:37:58,1900-01-01 00:05:37,10.7,64,142,TomTom MySports Watch
2016-10-31 19:34:32,Running,10.15,1900-01-01 00:56:36,1900-01-01 00:05:35,10.76,109,132,TomTom MySports Watch
2016-10-27 19:17:55,Running,6.84,1900-01-01 00:34:57,1900-01-01 00:05:06,11.75,75,146,TomTom MySports Watch
2016-10-24 18:38:31,Running,10.15,1900-01-01 00:58:25,1900-01-01 00:05:45,10.42,92,139,TomTom MySports Watch
2016-10-20 18:57:48,Running,10.19,1900-01-01 00:56:25,1900-01-01 00:05:32,10.83,89,148,TomTom MySports Watch
2016-10-17 18:39:56,Running,10.02,1900-01-01 00:55:56,1900-01-01 00:05:35,10.75,92,136,TomTom MySports Watch
2016-10-15 17:14:34,Running,13.49,1900-01-01 01:14:11,1900-01-01 00:05:30,10.91,182,143,TomTom MySports Watch
2016-10-12 17:50:31,Running,9.77,1900-01-01 00:52:12,1900-01-01 00:05:21,11.22,57,143,missing
2016-10-03 11:47:16,Cycling,23.62,1900-01-01 01:12:42,1900-01-01 00:03:05,19.5,301,126,TomTom MySports Watch
2016-10-02 16:36:05,Running,13.43,1900-01-01 01:12:20,1900-01-01 00:05:23,11.14,184,141,TomTom MySports Watch
2016-09-27 18:11:27,Running,6.88,1900-01-01 00:32:47,1900-01-01 00:04:46,12.59,49,143,missing
2016-09-24 16:39:37,Running,19.41,1900-01-01 01:46:24,1900-01-01 00:05:29,10.95,320,140,TomTom MySports Watch
2016-09-22 18:52:22,Running,6.96,1900-01-01 00:37:14,1900-01-01 00:05:21,11.22,63,135,TomTom MySports Watch
2016-09-20 18:42:40,Running,10.03,1900-01-01 00:53:21,1900-01-01 00:05:19,11.28,89,139,TomTom MySports Watch
2016-09-15 18:38:53,Running,10.0,1900-01-01 00:47:55,1900-01-01 00:04:47,12.52,91,150,TomTom MySports Watch
2016-09-12 18:23:04,Running,13.08,1900-01-01 01:10:33,1900-01-01 00:05:24,11.12,116,141,TomTom MySports Watch
2016-09-10 17:13:51,Cycling,13.11,1900-01-01 00:32:47,1900-01-01 00:02:30,23.99,163,136,TomTom MySports Watch
2016-09-08 18:19:56,Running,13.12,1900-01-01 01:04:40,1900-01-01 00:04:56,12.17,110,154,TomTom MySports Watch
2016-09-04 17:08:28,Cycling,13.64,1900-01-01 00:40:43,1900-01-01 00:02:59,20.09,184,134,TomTom MySports Watch
2016-09-03 17:28:11,Running,13.5,1900-01-01 01:17:44,1900-01-01 00:05:46,10.42,184,138,TomTom MySports Watch
2016-08-31 18:33:50,Running,13.06,1900-01-01 01:04:09,1900-01-01 00:04:55,12.22,107,152,TomTom MySports Watch
2016-08-28 18:00:16,Running,12.05,1900-01-01 01:07:14,1900-01-01 00:05:35,10.76,172,143,TomTom MySports Watch
2016-08-27 17:08:38,Cycling,24.67,1900-01-01 01:08:53,1900-01-01 00:02:48,21.49,307,134,TomTom MySports Watch
2016-08-24 17:26:00,Running,13.25,1900-01-01 01:11:57,1900-01-01 00:05:26,11.05,181,141,TomTom MySports Watch
2016-08-22 18:14:48,Running,10.06,1900-01-01 00:51:20,1900-01-01 00:05:06,11.76,58,143,missing
2016-08-20 15:43:49,Cycling,31.48,1900-01-01 01:29:50,1900-01-01 00:02:51,21.03,553,138,TomTom MySports Watch
2016-08-19 16:57:41,Running,13.43,1900-01-01 01:14:24,1900-01-01 00:05:32,10.83,185,150,TomTom MySports Watch
2016-08-17 17:17:09,Cycling,21.82,1900-01-01 01:22:34,1900-01-01 00:03:47,15.86,316,122,TomTom MySports Watch
2016-08-14 12:32:07,Running,21.16,1900-01-01 02:04:44,1900-01-01 00:05:54,10.18,351,149,TomTom MySports Watch
2016-08-01 17:40:40,Running,14.32,1900-01-01 01:20:36,1900-01-01 00:05:38,10.66,213,151,TomTom MySports Watch
2016-07-24 17:13:38,Running,20.81,1900-01-01 02:03:35,1900-01-01 00:05:56,10.11,367,144,TomTom MySports Watch
2016-07-18 18:28:47,Running,10.01,1900-01-01 00:50:49,1900-01-01 00:05:05,11.82,92,151,TomTom MySports Watch
2016-07-16 17:27:12,Running,22.06,1900-01-01 02:08:28,1900-01-01 00:05:49,10.3,354,143,TomTom MySports Watch
2016-07-12 18:20:28,Running,9.71,1900-01-01 00:50:45,1900-01-01 00:05:14,11.47,52,143,missing
2016-07-10 16:35:25,Running,19.27,1900-01-01 01:49:48,1900-01-01 00:05:42,10.53,319,142,TomTom MySports Watch
2016-07-04 18:24:46,Running,16.46,1900-01-01 01:28:53,1900-01-01 00:05:24,11.11,146,144,TomTom MySports Watch
2016-07-02 17:52:07,Running,13.55,1900-01-01 01:18:01,1900-01-01 00:05:46,10.42,189,137,TomTom MySports Watch
2016-06-27 18:40:44,Running,13.28,1900-01-01 01:12:43,1900-01-01 00:05:29,10.96,180,146,TomTom MySports Watch
2016-06-25 17:02:44,Running,13.22,1900-01-01 01:16:38,1900-01-01 00:05:48,10.35,226,142,TomTom MySports Watch
2016-06-23 18:29:58,Running,10.02,1900-01-01 00:51:35,1900-01-01 00:05:09,11.65,60,143,"Very hot, up to 30+
"
2016-06-19 17:04:31,Running,18.59,1900-01-01 01:49:24,1900-01-01 00:05:53,10.19,295,142,TomTom MySports Watch
2016-06-14 18:40:51,Running,13.21,1900-01-01 01:08:35,1900-01-01 00:05:11,11.56,119,155,TomTom MySports Watch
2016-06-12 12:07:08,Running,19.89,1900-01-01 01:45:59,1900-01-01 00:05:20,11.26,202,143,missing
